Shot,Lineage,X,Y,Z,SOX2,POU5F1,TFAP2C,TFAP2A,VTCN1,T,MIXL1,OTX2
240_E,Am_CS6,-138.80146,-30.8369991,-64.3718623,0.021931217,3.4533718,2.31968081,0.007363977,3.37559283,0.014674122,0.014674122,0
240_G,Am_CS6,-109.182836,34.3246217,-65.405823,0.023063434,3.53019612,0.11033963,0,3.75020932,0,0.045606915,0
240_K,Am_CS6,-51.7724028,161.840334,-69.4397226,0,2.50878645,0.005648845,1.39954208,3.57633775,1.54737825,0.005648845,0.005648845
240_Y,Am_CS6,-174.13888,-105.818525,-65.4131198,0,2.86537053,1.84793796,0,0,0.004471729,0.02653526,0
243_C,Am_CS6,-39.6261499,175.763367,-8.33695356,0,2.14764897,2.45121182,0.267976097,3.73238077,0,0.142937717,0
243_E,Am_CS6,2.280977,207.053024,-1.121847,0,1.71584091,2.17566329,1.52380027,1.05201277,0.205907139,0.087512257,0
243_I,Am_CS6,-113.791785,66.3037578,-18.4873601,0.009686047,1.87317652,1.17514575,0.699250158,1.84896014,0,0.217791423,0
243_K,Am_CS6,-119.702985,8.9991184,-16.9071576,0.009061365,1.50304949,2.33329879,1.10249215,1.21392157,0.009061365,0.018041359,0
246_G,Am_CS6,-156.504207,75.4487931,40.9178993,0,2.62308352,1.9619762,1.29776755,2.33232961,0,0,0
246_I,Am_CS6,-245.769811,-54.7438143,33.6677375,0,1.80657053,2.71758618,0.653374581,0.137605308,0,0,0
246_K,Am_CS6,-270.012714,-177.313142,30.5853341,0,1.78896445,0.304499855,0,0.098341357,0,0,0
246_AS,Am_CS6,52.695277,218.416786,29.0063634,0.008177764,2.9313439,2.55133884,0.714338162,0.271574896,0.543831168,0.296300556,0
249_U,Am_CS6,-144.174038,-195.719955,97.0878002,0,0.043817084,2.81670854,0,0,0,0,0
249_W,Am_CS6,-159.324948,-137.438538,98.5904523,0,2.14432003,0.080093622,0,0,0,0.020632795,0.010369611
255_F,Am_CS6,165.829588,224.753925,168.912782,0.033096098,2.23305729,1.09933438,0.033096098,0.065131845,0.049242252,0.033096098,0
255_J,Am_CS6,6.69925289,181.690969,171.658758,0.071894399,2.19288978,0.112673993,0.085673201,0,0.014798336,0,0
255_Z,Am_CS6,226.029626,234.605565,163.716513,0,2.42527599,2.01800496,0.343912257,0,0.097683469,0.043037753,0
237_N,Am_CS6,-188.724559,-240.041141,-82.2677733,0.003111551,1.10300009,0.063391926,0,0.003111551,0.009305757,2.03963303,0
234_D,Am_CS6,-54.3318257,81.3218256,-154.96615,0,2.11871491,2.2604536,1.70988902,3.09845014,0,0,0
